CRUISE,CTD_INDEX,CTD_DEPTH,Temperature,Salinity,Density,Chlorophyll,Oxygen,station
2103,114,42,9.219799995,33.94210052,26.2553997,0.187213048,2.723999977,MON
2103,114,44,9.186699867,33.94739914,26.26479912,0.166891485,2.667999983,MON
2103,114,46,9.159000397,33.95130157,26.2723999,0.130046934,2.625999928,MON
2103,114,48,9.138299942,33.95399857,26.27779961,0.107991278,2.598999977,MON
2103,114,50,9.132599831,33.95510101,26.27960014,0.044908047,2.556999922,MON
2103,114,52,9.105699539,33.95840073,26.28660011,0.027909387,2.473999977,MON
2103,114,54,9.083100319,33.9618988,26.29290009,4.19202e-4,2.45600009,MON
2103,114,56,9.074999809,33.96340179,26.29540062,0.003695166,2.441999912,MON
2103,114,58,9.022800446,33.97240067,26.31089973,0,2.414000034,MON
2103,114,60,8.956500053,33.98180008,26.32869911,0,2.346999884,MON
2103,114,62,8.900500298,33.99039841,26.34429932,0,2.289999962,MON
2103,114,64,8.88809967,33.99240112,26.34790039,0,2.285000086,MON
2103,114,66,8.859499931,33.99610138,26.3553009,0,2.246000051,MON
2103,212,6,11.76690006,33.61740112,25.5590992,1.032721043,5.949999809,MON
2103,212,8,11.76690006,33.61740112,25.55920029,1.070088029,5.9600000380000004,MON
2103,212,10,11.76029968,33.61809921,25.56110001,1.337448001,5.93900013,MON
2103,212,12,11.75829983,33.61859894,25.5618,1.382802963,5.940000057,MON
2103,212,14,11.76179981,33.61830139,25.56100082,1.493278027,5.931000233,MON
2103,212,16,11.76000023,33.61849976,25.56150055,1.508831024,5.943999767,MON
2103,212,18,11.75909996,33.61869812,25.56189919,1.517434001,5.956999779,MON
2103,212,20,11.75710011,33.61899948,25.56259918,1.536960959,5.954999924,MON
2103,212,22,11.75959969,33.61869812,25.56189919,1.487589955,5.933000088,MON
2103,212,24,11.75889969,33.61880112,25.56220055,1.502828002,5.946000099,MON
2103,212,26,11.74979973,33.62030029,25.56509972,1.462491035,5.938000202,MON
2103,212,28,11.74549961,33.62099838,25.56649971,1.446684003,5.929999828,MON
2103,212,30,11.72970009,33.62360001,25.57150078,1.486629009,5.933000088,MON
2103,212,32,11.73040009,33.62379837,25.57150078,1.413321018,5.93200016,MON
2103,212,34,11.72599983,33.62440109,25.57290077,1.470497012,5.934000015,MON
2103,212,36,11.71580029,33.62609863,25.5760994,1.556442022,5.921999931,MON
2103,212,38,11.70699978,33.62749863,25.57889938,1.611487031,5.921000004,MON
2103,212,40,11.68939972,33.62950134,25.58370018,1.578263044,5.890999794,MON
2103,212,42,11.6559,33.62829971,25.58909988,1.583606958,5.887000084,MON
2103,212,44,11.64000034,33.6269989,25.59110069,1.569399953,5.855999947,MON
2103,212,46,11.61100006,33.62469864,25.59469986,1.483639956,5.839000225,MON
2103,212,48,11.60029984,33.62390137,25.59600067,1.478399038,5.818999767,MON
2103,212,50,11.56809998,33.62170029,25.60040092,1.374042988,5.777999878,MON
2103,212,52,11.47700024,33.61309814,25.61039925,1.202654004,5.686999798,MON
2103,212,54,11.28129959,33.59249878,25.63019943,0.984850526,5.379000187,MON
2103,212,56,10.88539982,33.53020096,25.65250015,0.648008525,5.096000195,MON
2103,212,58,10.73700047,33.5121994,25.66480064,0.135555297,5.039000034,MON
2103,212,60,10.65999985,33.52389908,25.68740082,0.006189211,4.84499979,MON
2103,212,62,10.42459965,33.54840088,25.74740028,0,4.831999779,MON
2103,212,64,10.47609997,33.63809967,25.80850029,0,4.934000015,MON
2103,212,66,10.41079998,33.67610168,25.84950066,0,4.866000175,MON
2103,212,68,10.30720043,33.69340134,25.88080025,0,4.850999832,MON
2103,212,70,10.29230022,33.69260025,25.88279915,0,4.762000084,MON
2103,212,72,10.21459961,33.68989944,25.8939991,0,4.550000191,MON
2103,212,74,10.16049957,33.69010162,25.90340042,0,4.423999786,MON
2103,212,76,10.07129955,33.69630051,25.92340088,0,4.184000015,MON
2103,212,78,9.961899757,33.70209885,25.94639969,0,3.9749999049999998,MON
2103,212,80,9.879899979,33.70769882,25.96459961,0,3.802999973,MON
2103,212,82,9.831199646,33.7181015,25.98089981,0,3.713999987,MON
2103,212,84,9.789099693,33.72650146,25.99440002,0,3.588999987,MON
2103,212,86,9.674500465,33.74909973,26.03120041,0,3.298000097,MON
2103,212,88,9.449299812,33.77170181,26.08580017,0,3.072999954,MON
2103,212,90,9.390399933,33.78749847,26.107700349999998,0,3.017999887,MON
2103,212,92,9.337900162,33.80139923,26.12709999,0,2.927999973,MON
2103,212,94,9.334300041,33.82239914,26.14410019,0,2.798000097,MON
2103,212,96,9.340200424,33.87379837,26.1833992,0,2.628999949,MON
2103,212,98,9.359499931,33.90409851,26.20400047,0,2.500999928,MON
2103,212,100,9.349399567,33.91759872,26.21629906,0,2.431999922,MON
2103,212,102,9.330900192,33.92720032,26.22680092,0,2.39199996,MON
2103,212,104,9.297499657,33.93439865,26.23789978,0,2.368000031,MON
